Jurisdictional Reference,Type,Description
"The Patent Rules, 2003",Patent,"Provides detailed procedures and guidelines for the implementation of the Patents Act, 1970, including filing, examination, and grant of patents."
"The National IPR Policy, 2016",Patent,Aims to create a holistic and conducive ecosystem to catalyze the full potential of intellectual property for India’s economic growth and socio-cultural development.
The Indian Patent Office Manual,Patent,"A comprehensive guide issued by the Indian Patent Office, detailing the procedures for filing and prosecuting patent applications in India."
"The Biological Diversity Rules, 2004",Patent,"Complements the Biological Diversity Act, 2002, by providing specific procedures for access to biological resources and associated knowledge."
"The Indian Patent Amendment Rules, 2020",Patent,Updated rules to include provisions for expedited examination processes and electronic filing to streamline patent procedures.
The Public Funded Research and Development Organisation (PRFOR) Guidelines,Patent,Encourages the protection and commercialization of intellectual property generated from public-funded research and development projects in India.
The Startup Intellectual Property Protection (SIPP) Scheme,Patent,"Provides startups with facilitation support for filing patents, trademarks, and designs at a reduced cost, to foster innovation and entrepreneurship."
The National Innovation Foundation (NIF) Guidelines,Patent,Promotes grassroots innovation and provides support for patenting innovations developed by individuals and communities in India.
"The Plant Quarantine (Regulation of Import into India) Order, 2003",Patent,Regulates the import of plants and plant materials to protect indigenous biodiversity and impacts patents related to agricultural biotechnology.
The Traditional Knowledge (TK) Resource Classification (TKRC),Patent,"A classification system developed by India to document traditional knowledge and prevent biopiracy, facilitating prior art searches for patent examiners."
"The Atomic Energy Act, 1962",Patent,"Governs the use of atomic energy and includes provisions related to the patenting of nuclear-related inventions, ensuring national security considerations."
The Indian Council of Agricultural Research (ICAR) Guidelines,Patent,Provides guidelines for the management of intellectual property generated through agricultural research funded by ICAR.
"The Drugs Price Control Order (DPCO), 2013",Patent,"Regulates the prices of essential drugs in India, impacting patents related to pharmaceuticals and ensuring affordable access to medicines."
"The Geographical Indications of Goods (Registration and Protection) (Amendment) Rules, 2020",Patent,Simplifies the procedures for registration and protection of geographical indications in India.
"The Cinematograph Act, 1952",Patent,Regulates the certification of films for public exhibition and includes provisions related to the protection of intellectual property in the film industry.
The Indian Institute of Technology (IIT) Guidelines on Intellectual Property,Patent,Provides guidelines for the management and commercialization of intellectual property generated through research conducted at IITs.
"The Copyright (Amendment) Rules, 2013",Patent,"Amends the Copyright Rules, 1958, to align with the Copyright Act, 1957, providing updated procedures for copyright registration and protection."
The University Grants Commission (UGC) Guidelines on Intellectual Property,Patent,Encourages universities and higher education institutions to protect and commercialize intellectual property generated through academic research.
"The Indian Patents & Designs Act, 1911",Patent,"An early comprehensive law that governed patents and industrial designs in India before the enactment of the Patents Act, 1970."
"The Farmers’ Rights Act, 2001",Patent,"Provides recognition and protection of the rights of farmers to save, use, exchange, and sell farm-saved seeds, which impacts patents on plant varieties."
"The Patents (Amendment) Act, 2006",Patent,"Introduced further changes to the Patents Act, 1970, to enhance the examination process and streamline patent granting procedures."
"The Right to Information Act, 2005",Patent,"While not directly related to patents, this act allows access to information held by public authorities, which can include details on patent applications and grants."
The National Biodiversity Authority (NBA) Guidelines,Patent,"Provides guidelines for access and benefit-sharing of biological resources, which intersect with patenting biotechnological inventions."
"The Seed Act, 1966",Patent,Regulates the quality of seeds sold in India and impacts patents related to agricultural biotechnology.
"The Copyright (Amendment) Act, 2012",Patent,"Introduced significant changes to the Copyright Act, 1957, including provisions for protecting the rights of authors and performers, and addressing issues related to digital content."
"The Indian Medical Council (Professional Conduct, Etiquette, and Ethics) Regulations, 2002",Patent,Includes provisions related to the patenting and commercial use of medical innovations and technologies developed by medical professionals.
"The National Manufacturing Policy, 2011",Patent,"Aims to enhance the competitiveness of Indian manufacturing, including provisions to support innovation and intellectual property rights."
"The Clinical Establishments (Registration and Regulation) Act, 2010",Patent,"Regulates clinical establishments, including provisions for the use and commercialization of patented medical technologies and innovations."
"The Biological Diversity (Amendment) Act, 2020",Patent,"Amends the Biological Diversity Act, 2002, to streamline procedures for access to biological resources and benefit-sharing arrangements."
"The Indian Stamp Act, 1899",Patent,"Governs the payment of stamp duty on various documents, including those related to intellectual property transactions and assignments."
"The Finance Act, 2021",Patent,"Includes provisions related to the taxation of income generated from intellectual property, impacting patent licensing and commercialization."
"The Information Technology (Intermediary Guidelines and Digital Media Ethics Code) Rules, 2021",Patent,"Regulates digital media and online intermediaries, including provisions for protecting intellectual property rights online."
"The National Intellectual Property Rights (IPR) Policy, 2016",Patent,"Provides a roadmap for the promotion and protection of intellectual property rights in India, including patents."
The Indian Council of Medical Research (ICMR) Guidelines,Patent,"Provides guidelines for the ethical conduct of medical research, including provisions related to the patenting and commercialization of medical innovations."
"The Industrial Disputes Act, 1947",Patent,Governs industrial relations and includes provisions that can impact the transfer and assignment of intellectual property in employer-employee relationships.
The Trade Secrets Protection Act (Proposed),Patent,A proposed legislation aimed at providing statutory protection for trade secrets and confidential information in India.
"The Public Procurement (Preference to Make in India) Order, 2017",Patent,"Promotes domestic manufacturing and innovation, including provisions that encourage the use of locally developed and patented technologies."
"The Drugs and Magic Remedies (Objectionable Advertisements) Act, 1954",Patent,"Regulates advertisements related to drugs and medical remedies, impacting patents on pharmaceutical products."
"The Biological Diversity (Access to Biological Resources and Benefits Sharing) Regulations, 2014",Patent,"Provides detailed regulations for access to biological resources and benefit-sharing, which can impact the patenting of biotechnological inventions."
